Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,KV_R,KV_S,KV_T,I a,I b,I c,PF,Freq,MW,MVAR
00:00.0,0,0,0.570496,0.640446,0.228701,0.231303,0.229888,2.660048,2.545197,2.779605,0.664418,49.900242,-0.001135,-0.001277
30:00.0,0,0,0.571886,0.644152,0.227661,0.230853,0.228814,2.655039,2.55282,2.775662,0.668402,49.840767,-0.001137,-0.001266
00:00.0,0,0,0.570607,0.639845,0.228866,0.231076,0.230428,2.667767,2.538314,2.78207,0.664623,49.857597,-0.001137,-0.001279
30:00.0,0,0,0.571901,0.643756,0.228955,0.232181,0.230187,2.653251,2.547443,2.781408,0.662912,49.920151,-0.001135,-0.001282
00:00.0,0,0,0.571058,0.640965,0.227209,0.230338,0.229269,2.647572,2.532752,2.77748,0.669009,49.917305,-0.001135,-0.001261
30:00.0,0,0,0.572855,0.646023,0.228432,0.230852,0.22959,2.661695,2.541193,2.784432,0.66218,49.762169,-0.001131,-0.00128
00:00.0,0,0,0.571633,0.644172,0.228586,0.231674,0.229737,2.651154,2.540967,2.778293,0.662914,49.834702,-0.001132,-0.001278
30:00.0,0,0,0.57086,0.644702,0.228798,0.231908,0.229967,2.663586,2.551287,2.792237,0.660575,49.766232,-0.001134,-0.001289
00:00.0,0,0,0.570994,0.645865,0.229341,0.231504,0.23093,2.682772,2.549285,2.805238,0.661847,49.784737,-0.001142,-0.001294
30:00.0,0,0,0.572676,0.64796,0.228304,0.230503,0.229921,2.654584,2.521847,2.77049,0.667358,50.034275,-0.001134,-0.001265
00:00.0,0,0,0.568671,0.633851,0.227959,0.230976,0.229017,2.645836,2.53424,2.765298,0.668259,49.966545,-0.001134,-0.001262
30:00.0,0,0,0.568224,0.632909,0.228015,0.230925,0.229026,2.641826,2.526079,2.757714,0.667722,50.097816,-0.00113,-0.001259
00:00.0,0,0,0.56719,0.630152,0.228172,0.231055,0.229168,2.645252,2.531043,2.762969,0.667741,50.008091,-0.001133,-0.001263
30:00.0,0,0,0.570503,0.641267,0.227737,0.230685,0.22884,2.644376,2.530684,2.763086,0.669718,49.985073,-0.001134,-0.001258
00:00.0,0,0,0.567548,0.629803,0.22683,0.229911,0.228137,2.632947,2.523317,2.755413,0.671755,49.968819,-0.00113,-0.001246
30:00.0,0,0,0.599022,0.749885,0.226997,0.229546,0.228146,2.632453,2.517945,2.746741,0.671905,50.047695,-0.001127,-0.001243
00:00.0,0,0,0.568468,0.632164,0.227921,0.230032,0.228931,2.6449,2.524474,2.751626,0.670612,50.083519,-0.001132,-0.001252
30:00.0,0,0,0.569251,0.633364,0.228276,0.231093,0.229413,2.657795,2.549386,2.775588,0.66735,49.876858,-0.001138,-0.00127
00:00.0,0,0,0.569951,0.637744,0.228562,0.23112,0.230095,2.656298,2.533072,2.764886,0.668162,50.227608,-0.001136,-0.001265
30:00.0,0,0,0.571364,0.645381,0.229092,0.231566,0.230286,2.66062,2.53666,2.766344,0.663898,50.122612,-0.001132,-0.001276
00:00.0,0,0,0.570581,0.644302,0.230192,0.231937,0.230534,2.679814,2.545225,2.770982,0.662764,50.044899,-0.001138,-0.001286
